,,0.014040,none,0.161760,0.578080,0.041000,,,,1.411360,0.874720,0.100200,0.419960,0.075720,,,,,,,,,,,,,,,,2.483760,0.586520,,,,,0.047960,0.083040,0.278720,0.035640,0.021440,,,,,2.678080,0.275400,,0.748800,,
,,,,,,,0.243800,,,,,,,,0.094240,,,,,3.663800,none,,0.029640,0.396800,none,,,6.855320,,,,0.452360,,,,,,,,,,,,3.005760,,,0.853080,,1.242720,
,,0.465120,,0.214760,0.018280,0.354720,,,,none,0.760200,0.082880,0.084120,1.099640,,,,,,,,0.209800,,,,,,,2.598080,none,0.018920,,none,,,none,0.032000,1.080480,0.152680,0.335000,0.509200,,,,none,0.567160,,1.641200,,
,,,0.023480,,,,0.765640,,,,,,,,0.113400,,,,,0.175520,,,0.604720,none,,,,0.384800,,,,2.860840,,,,,,,,,,,,0.437160,,,0.036520,,none,
,,0.181880,,0.244640,0.114760,0.220880,,,,,0.093440,0.040880,0.244960,0.191520,,,,,,,none,1.208040,,,,,,,3.103960,,0.433240,,,,,,0.112320,0.022200,0.279920,0.587720,0.128200,,,,,0.059120,,none,,
,,,0.075600,,,,none,,,0.559600,,,,,0.682000,,,,,none,,,0.122800,,,,,0.330480,,1.687800,,0.063800,0.262480,,,0.442920,,,,,,,,none,1.610600,,0.236720,,,
,,0.223800,,0.035200,0.567600,0.354000,,,,,0.012800,0.012400,0.445920,0.208320,,,,,,,,0.071240,,2.135080,,,,,0.925080,,0.531600,,,,,,0.439800,0.340760,0.593720,0.311960,none,,,,,0.383920,,,,
,,,0.148320,,,,,,,1.147200,,,,,none,,,,,,none,,0.018640,,,,,1.251360,,0.020280,,1.751280,0.068880,,,0.971240,,,,,,,,,0.068800,,0.441240,0.334000,,
,,0.376600,,0.127840,1.582320,1.220960,,,,,0.072280,0.116840,0.002600,0.845440,,,,,,6.702480,,0.462320,,0.874040,,,,,none,,0.050920,,,,,,0.132840,0.163440,0.133640,0.232560,,,,3.815040,,2.776240,,,,
,,,none,,,,,,,1.530200,,,,,,,,,,,,,none,,,,,0.318760,,0.009440,,none,0.214160,,,0.021840,,,,,0.470520,,,,0.342760,,0.043520,3.026600,,
